ItemIndex	Item Sub Group	Item Sub Index	Model     	Model Name                   	Item Name                          	Kind A	Kind B	Type	Two Hands	Drop Level	Slot	Skill Index	Width	Height	Damage Min	Damage Max	Defense Rate	Defense	Magic Resistance	Attack Speed	Walk Speed	Durability	Magic Dur	Magic Power	Combat Power	Req Str	Req Dex	Req Ene	Req Vit	Req Cmd	Req Lvl	Item Value	Money	Set Attr	DW	DK	FE	MG	DL	SUM	RF	GL	RW	SL	GC	LM	KM	IK	IceRes	PoisonRes	LightningRes	FireRes	EarthRes	WindRes	WaterRes	Dump	Transaction	Personal Store	Warehouse	Sell Npc	Expensive	Repair	Overlap	Pc Flag	Muun Flag	Mastery Pentagram	Pentagram Type	Pent Elem Damage	Pent Elem Defense	Elemental Defense
10       	0             	10            	Data\Item\	sword11.bmd                  	Light Saber                        	1     	1     	1   	1        	40        	0   	5632       	0    	2     	12036     	15616     	0           	0      	0               	0           	0         	25        	0        	0          	0           	0      	80     	60     	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	1 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
11       	0             	11            	Data\Item\	sword12.bmd                  	Legendary Sword                    	1     	1     	1   	1        	44        	0   	5120       	0    	2     	14339     	18432     	0           	0      	0               	0           	0         	20        	0        	0          	0           	0      	120    	0      	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
12       	0             	12            	Data\Item\	sword13.bmd                  	Heliacal Sword                     	1     	1     	1   	1        	56        	0   	4864       	0    	2     	18691     	25088     	0           	0      	0               	0           	0         	25        	0        	0          	0           	0      	140    	0      	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
13       	0             	13            	Data\Item\	sword14.bmd                  	Double Blade                       	1     	1     	1   	0        	48        	0   	5632       	0    	1     	12291     	14336     	0           	0      	0               	0           	0         	30        	0        	0          	0           	0      	70     	70     	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	1 	   	0 	0 	0 	0 	0 	1 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
14       	0             	14            	Data\Item\	sword15.bmd                  	Lighting Sword                     	1     	1     	1   	0        	59        	0   	5632       	0    	1     	15107     	17152     	0           	0      	0               	0           	0         	30        	0        	0          	0           	0      	90     	50     	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	1 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
15       	0             	15            	Data\Item\	sword16.bmd                  	Giant Sword                        	1     	1     	1   	1        	52        	0   	5888       	0    	2     	15363     	21760     	0           	0      	0               	0           	0         	20        	0        	0          	0           	0      	140    	0      	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
16       	0             	16            	Data\Item\	sword17.bmd                  	Sword of Destruction               	1     	1     	1   	0        	82        	0   	5632       	0    	1     	20996     	23040     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	160    	60     	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
17       	0             	17            	Data\Item\	sword18.bmd                  	Dark Breaker                       	1     	1     	1   	1        	104       	0   	5888       	0    	2     	32772     	39168     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	180    	50     	0      	0      	0      	0         	0    	0       	0 	1 	0 	2 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
18       	0             	18            	Data\Item\	sword19.bmd                  	Thunder Blade                      	1     	2     	1   	1        	105       	0   	5888       	0    	2     	35843     	43008     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	180    	50     	0      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
19       	0             	19            	Data\Item\	sword20.bmd                  	Divine Sword of Archangel          	1     	1     	6   	0        	86        	0   	5632       	0    	1     	56324     	58880     	0           	0      	0               	0           	0         	45        	0        	0          	0           	0      	140    	50     	0      	0      	0      	0         	0    	0       	0 	0 	0 	1 	0 	   	1 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
20       	0             	20            	Data\Item\	sword21.bmd                  	Knight Blade                       	1     	1     	1   	0        	140       	0   	5632       	0    	1     	27396     	29440     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	116    	38     	0      	0      	0      	0         	0    	0       	0 	1 	0 	2 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
21       	0             	21            	Data\Item\	sword22.bmd                  	Dark Reign Blade                   	1     	2     	1   	1        	140       	0   	14336      	0    	2     	29444     	36352     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	116    	53     	9      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
22       	0             	22            	Data\Item\	HDK_Sword.bmd                	Bone Blade                         	1     	1     	3   	0        	147       	0   	5632       	0    	1     	31236     	34560     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	100    	35     	0      	0      	0      	124       	1    	0       	0 	0 	0 	2 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
23       	0             	23            	Data\Item\	HDK_Sword2.bmd               	Explosion Blade                    	1     	2     	3   	1        	147       	0   	14336      	0    	2     	32516     	39680     	0           	0      	0               	0           	0         	45        	0        	0          	0           	0      	98     	48     	7      	0      	0      	124       	1    	0       	0 	0 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
24       	0             	24            	Data\Item\	CW_Sword.bmd                 	Daybreak                           	1     	1     	1   	1        	115       	0   	5632       	0    	2     	46596     	55808     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	192    	30     	0      	0      	0      	0         	0    	0       	0 	0 	0 	2 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
25       	0             	25            	Data\Item\	CW_Sword2.bmd                	Sword Dancer                       	1     	2     	1   	1        	115       	0   	14336      	0    	2     	27908     	34816     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	136    	57     	9      	0      	0      	0         	0    	0       	0 	0 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
26       	0             	26            	Data\Item\	Sword_27.bmd                 	Flameberge                         	1     	1     	2   	0        	137       	0   	5632       	0    	1     	29444     	32256     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	193    	53     	0      	0      	0      	124       	1    	0       	0 	0 	0 	2 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
27       	0             	27            	Data\Item\	Sword_28.bmd                 	Sword Breaker                      	1     	1     	2   	0        	133       	0   	5632       	0    	1     	23300     	25344     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	53     	176    	0      	0      	0      	124       	1    	0       	0 	0 	0 	2 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
28       	0             	28            	Data\Item\	Sword_29.bmd                 	Rune Bastard Sword                 	1     	2     	2   	0        	139       	0   	14336      	0    	1     	25092     	31232     	0           	0      	0               	0           	0         	45        	0        	0          	0           	0      	91     	73     	17     	0      	0      	124       	1    	0       	0 	0 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
29       	0             	29            	Data\Item\	balhalla_sword.bmd           	Sonic Blade                        	1     	1     	2   	0        	149       	0   	5632       	0    	1     	27908     	29696     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	49     	162    	0      	0      	0      	144       	1    	0       	0 	0 	0 	3 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
30       	0             	30            	Data\Item\	asura.bmd                    	Asura                              	1     	2     	2   	0        	149       	0   	14336      	0    	1     	29444     	35840     	0           	0      	0               	0           	0         	45        	0        	0          	0           	0      	86     	70     	16     	0      	0      	144       	1    	0       	0 	0 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
31       	0             	31            	Data\Item\	sword32.bmd                  	Rune Blade                         	1     	2     	1   	1        	100       	0   	14336      	0    	2     	26628     	33280     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	135    	62     	9      	0      	0      	0         	0    	0       	0 	3 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
32       	0             	32            	Data\Item\	Sword33.bmd                  	Sacred Glove                       	1     	3     	1   	0        	52        	0   	1024       	1    	1     	13314     	14848     	0           	0      	0               	0           	0         	25        	0        	0          	0           	0      	85     	35     	0      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	1 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
33       	0             	33            	Data\Item\	Sword34.bmd                  	Holy Storm Claws                   	1     	3     	1   	0        	82        	0   	1280       	1    	1     	20994     	22528     	0           	0      	0               	0           	0         	30        	0        	0          	0           	0      	100    	50     	0      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	1 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
34       	0             	34            	Data\Item\	Sword35.bmd                  	Piercing Blade Glove               	1     	3     	1   	0        	105       	0   	1024       	1    	1     	24322     	25856     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	120    	60     	0      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	1 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
35       	0             	35            	Data\Item\	Sword36.bmd                  	Phoenix Soul Star                  	1     	3     	3   	0        	147       	0   	3584       	1    	1     	31234     	32768     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	101    	51     	0      	0      	0      	124       	1    	0       	0 	0 	0 	0 	0 	   	0 	0 	1 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	0      	1      	0        	0                	0             	0               	0                	0
36       	0             	36            	Data\Item\	balhalla_sword.bmd           	Cyclone Sword                      	1     	1     	2   	0        	149       	0   	5632       	0    	1     	33028     	36864     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	182    	50     	0      	0      	0      	144       	1    	0       	0 	0 	0 	3 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
37       	0             	37            	Data\Item\	blastbreak.bmd               	Blast Break                        	1     	1     	2   	1        	149       	0   	5888       	0    	2     	41732     	55296     	0           	0      	0               	0           	0         	30        	0        	0          	0           	0      	182    	50     	0      	0      	0      	144       	1    	0       	0 	0 	0 	3 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
38       	0             	41            	Data\Item\	cokcangki.bmd                	Pandora Pick (Two-Handed)          	0     	0     	0   	1        	0         	0   	0          	0    	2     	2         	0         	0           	0      	0               	0           	0         	0         	0        	0          	0           	0      	0      	0      	0      	0      	0      	0         	0    	0       	0 	0 	1 	1 	1 	   	1 	1 	1 	1 	1 	1 	1 	1 	1     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	0     	0      	0      	0        	0                	0             	0               	0                	0
39       	0             	42            	Data\Item\	blood_angelsword_s.bmd       	Bloodangel Sword                   	14    	1     	1   	0        	150       	0   	5632       	0    	1     	64516     	1792      	1           	0      	0               	0           	0         	40        	0        	0          	0           	0      	165    	51     	122    	0      	0      	144       	1    	0       	0 	1 	0 	3 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
40       	0             	44            	Data\Item\	blood_anglesword.bmd         	Bloodangel Magic Sword             	14    	2     	1   	0        	150       	0   	14336      	0    	1     	62980     	256       	1           	0      	0               	0           	0         	45        	0        	0          	0           	0      	120    	72     	17     	0      	0      	144       	1    	0       	0 	1 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
41       	0             	46            	Data\Item\	BloodangelClo.bmd            	Bloodangel Claws                   	14    	3     	1   	0        	150       	0   	3584       	1    	1     	37634     	40192     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	95     	30     	0      	0      	0      	144       	1    	0       	0 	1 	0 	0 	0 	   	0 	0 	3 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
42       	0             	48            	Data\Item\	sword17.bmd                  	[Bound] Sword of Destruction       	1     	1     	5   	0        	82        	0   	5632       	0    	1     	25860     	29440     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	50     	50     	0      	0      	0      	0         	0    	0       	0 	1 	0 	1 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	0             	0        	0       	0        	1     	1      	1      	0        	0                	0             	0               	0                	0
43       	0             	49            	Data\Item\	sword19.bmd                  	[Bound] Thunder Blade              	1     	2     	5   	1        	105       	0   	5888       	0    	2     	41475     	48640     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	50     	50     	0      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	0             	0        	0       	0        	1     	1      	1      	0        	0                	0             	0               	0                	0
44       	0             	50            	Data\Item\	Sword34.bmd                  	[Bound] Holy Storm Claws           	1     	3     	5   	0        	82        	0   	1280       	1    	1     	22274     	24320     	0           	0      	0               	0           	0         	30        	0        	0          	0           	0      	50     	50     	0      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	1 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	0             	0        	0       	0        	1     	1      	1      	0        	0                	0             	0               	0                	0
45       	0             	51            	Data\Item\	absolute02_sword.bmd         	Blessed Divine Arch Sword          	1     	1     	8   	0        	200       	0   	5632       	0    	1     	2308      	4865      	1           	0      	0               	0           	0         	45        	0        	0          	0           	0      	60     	30     	0      	0      	0      	0         	0    	0       	0 	0 	0 	1 	0 	   	1 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	0             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
46       	0             	52            	Data\Item\	sword37.bmd                  	Pantera Claws                      	1     	3     	2   	0        	139       	0   	3584       	1    	1     	6658      	8704      	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	78     	25     	0      	0      	0      	124       	1    	0       	0 	0 	0 	0 	0 	   	0 	0 	1 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
47       	0             	53            	Data\Item\	sword38.bmd                  	Devast Claws                       	1     	3     	2   	0        	149       	0   	3584       	1    	1     	8962      	11776     	0           	0      	0               	0           	0         	40        	0        	0          	0           	0      	82     	28     	0      	0      	0      	144       	1    	0       	0 	0 	0 	0 	0 	   	0 	0 	3 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
48       	0             	54            	Data\Item\	DarkangelSword.bmd           	Darkangel Sword                    	14    	1     	1   	0        	160       	0   	5632       	0    	1     	11780     	14593     	1           	0      	0               	0           	0         	40        	0        	0          	0           	0      	165    	51     	117    	0      	0      	88        	2    	0       	0 	1 	0 	3 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
49       	0             	55            	Data\Item\	DarkangelMagicsword.bmd      	Darkangel Magic Sword              	14    	2     	1   	0        	160       	0   	14336      	0    	1     	11268     	14081     	1           	0      	0               	0           	0         	45        	0        	0          	0           	0      	120    	72     	17     	0      	0      	88        	2    	0       	0 	1 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
50       	0             	56            	Data\Item\	sword39.bmd                  	Darkangel Claws                    	14    	3     	1   	0        	160       	0   	3584       	1    	1     	54786     	57344     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	95     	30     	0      	0      	0      	88        	2    	0       	0 	1 	0 	0 	0 	   	0 	0 	3 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
51       	0             	57            	Data\Item\	HolyAngelSword.bmd           	Holyangel Sword                    	14    	1     	1   	0        	180       	0   	5632       	0    	1     	27908     	30721     	1           	0      	0               	0           	0         	40        	0        	0          	0           	0      	152    	47     	108    	0      	0      	32        	3    	0       	0 	1 	0 	3 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
52       	0             	58            	Data\Item\	HolyAngelMagicSword.bmd      	Holyangel Magic Sword              	14    	2     	1   	0        	180       	0   	14336      	0    	1     	27652     	30465     	1           	0      	0               	0           	0         	45        	0        	0          	0           	0      	111    	67     	16     	0      	0      	32        	3    	0       	0 	1 	0 	0 	0 	   	0 	0 	0 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
53       	0             	59            	Data\Item\	Sword40.bmd                  	Holyangel Claws                    	14    	3     	1   	0        	180       	0   	3584       	1    	1     	5378      	7937      	1           	0      	0               	0           	0         	35        	0        	0          	0           	0      	88     	28     	0      	0      	0      	32        	3    	0       	0 	1 	0 	0 	0 	   	0 	0 	3 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
54       	0             	60            	Data\Item\	sword41.bmd                  	Archangel Absolute Claws           	1     	3     	6   	0        	100       	0   	3584       	1    	1     	30979     	33280     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	68     	23     	0      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	1 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	1             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
55       	0             	61            	Data\Item\	sword42.bmd                  	Blessed Arch's Absolute Claws      	1     	3     	8   	0        	200       	0   	3584       	1    	1     	34819     	37632     	0           	0      	0               	0           	0         	35        	0        	0          	0           	0      	60     	22     	0      	0      	0      	0         	0    	0       	0 	1 	0 	0 	0 	   	0 	0 	1 	0 	0 	0 	0 	0 	0     	0        	0           	0      	0       	0      	0       	0   	0          	0             	1        	1       	1        	1     	1      	1      	0        	0                	0             	0               	0                	0
